client_id,nps_score,response_time_hrs,escalations,satisfied
1,91,314.14,475.48,1
2,82,136.95,435.87,1
3,65,394.66,484.9,1
4,20,295.79,296.01,1
5,49,414.19,70.65,0
6,37,222.81,288.04,0
7,25,451.06,442.42,1
8,28,45.16,245.43,0
9,54,481.46,256.03,1
10,73,301.43,338.72,1
11,65,281.49,208.6,0
12,43,327.14,391.53,1
13,50,307.09,403.03,1
14,62,443.26,377.33,1
15,80,203.06,249.12,0
16,23,258.19,279.65,0
17,62,438.91,343.18,1
18,41,237.35,335.55,1
19,39,72.71,258.48,0
20,91,146.64,259.96,0
21,83,441.06,155.23,1
22,88,352.33,489.47,1
23,38,491.22,437.88,1
24,46,54.7,293.04,0
25,25,204.77,239.53,0
26,71,252.78,431.67,1
27,25,388.67,250.63,1
28,53,109.54,191.0,0
29,49,144.45,118.94,0
30,58,433.74,77.67,0
31,30,451.91,323.82,1
32,62,112.02,157.24,0
33,85,202.97,116.7,0
34,77,224.04,211.01,0
35,82,365.78,418.06,1
36,58,122.24,19.68,0
37,52,458.81,135.05,1
38,79,346.48,333.2,1
39,66,190.39,311.12,0
40,32,219.16,412.84,1
41,41,15.23,180.92,0
42,92,267.68,365.72,1
43,86,309.44,151.87,0
44,28,99.38,55.12,0
45,48,107.28,396.87,0
46,77,375.32,16.94,0
47,34,343.38,152.24,0
48,61,77.95,117.03,0
49,89,24.65,491.12,1
50,24,126.45,231.7,0
51,90,284.77,46.92,0
52,55,385.43,12.3,0
53,56,490.53,94.75,1
54,56,273.67,276.02,1
55,31,211.67,236.77,0
56,92,23.42,335.37,0
57,37,209.8,432.82,1
58,49,189.93,267.73,0
59,76,472.56,247.18,1
60,34,305.15,18.77,0
61,30,354.27,54.02,0
62,52,319.01,499.95,1
63,53,70.46,279.15,0
64,43,397.23,204.18,1
65,61,450.93,49.06,0
66,53,140.37,450.55,1
67,25,343.98,465.85,1
68,85,60.48,431.67,0
69,60,322.94,82.86,0
70,24,303.98,310.08,1
71,39,473.63,354.14,1
72,22,493.27,200.88,1
73,39,140.01,170.18,0
74,68,312.22,234.66,1
75,83,88.24,90.03,0
76,91,212.57,186.43,0
77,38,264.25,277.95,0
78,29,151.66,106.67,0
79,69,465.74,144.91,1
80,72,366.62,265.93,1
81,38,254.49,354.84,1
82,22,50.65,160.36,0
83,82,305.19,198.92,0
84,56,131.69,79.78,0
85,47,421.99,206.77,1
86,53,214.45,130.88,0
87,63,461.3,22.94,0
88,61,36.09,334.62,0
89,40,206.97,472.91,1
90,46,188.53,443.5,1
91,35,115.68,333.58,0
92,40,442.72,418.03,1
93,46,367.82,75.4,0
94,82,247.71,244.86,0
95,64,432.24,165.62,1
96,80,256.65,111.9,0
97,89,472.53,458.97,1
98,30,72.17,267.09,0
99,36,337.03,265.05,1
100,45,317.55,341.88,1
101,70,22.73,12.57,0
102,59,48.8,131.09,0
103,36,104.31,224.85,0
104,65,234.99,257.91,0
105,88,344.04,111.54,0
106,75,423.69,34.68,0
107,66,313.0,323.63,1
108,26,201.37,66.96,0
109,43,225.49,465.94,1
110,83,21.25,345.32,0
111,29,235.11,132.34,0
112,85,316.74,177.79,0
113,90,197.83,76.05,0
114,94,48.1,319.07,0
115,78,51.06,219.35,0
116,85,265.04,119.85,0
117,34,439.65,329.75,1
118,81,201.73,260.73,0
119,90,427.03,382.07,1
120,28,369.04,496.53,1
121,25,193.05,383.51,1
122,82,442.29,46.4,0
123,91,368.99,20.41,0
124,33,86.05,344.24,0
125,50,380.48,257.65,1
126,49,135.08,231.75,0
127,70,178.42,367.18,1
128,76,83.41,297.89,0
129,82,280.16,77.44,0
130,61,316.34,427.33,1
131,20,55.32,236.18,0
132,91,442.24,355.18,1
133,75,389.88,456.77,1
134,21,378.58,474.48,1
135,26,339.82,431.99,1
136,78,315.19,448.76,1
137,93,314.76,281.26,1
138,36,31.17,11.13,0
139,53,26.73,394.59,0
140,87,488.38,90.05,1
141,44,66.82,210.14,0
142,86,424.1,418.34,1
143,49,230.4,394.81,1
144,67,299.92,209.56,0
145,31,403.77,27.0,0
146,27,314.23,137.28,0
147,76,85.79,461.7,1
148,58,29.63,120.17,0
149,38,432.14,124.35,0
150,28,486.91,95.53,1
151,79,419.04,121.41,1
152,33,402.93,178.2,1
153,77,215.87,174.8,0
154,43,382.16,72.13,0
155,74,117.88,140.46,0
156,49,99.29,351.13,0
157,73,34.61,245.43,0
158,59,470.6,276.62,1
159,80,328.27,490.7,1
160,50,76.51,332.57,0
161,69,251.69,385.2,1
162,70,254.48,268.87,0
163,23,15.71,300.94,0
164,41,394.23,166.93,1
165,20,254.7,70.72,0
166,23,376.89,360.57,1
167,83,479.15,250.86,1
168,83,437.59,372.12,1
169,71,223.43,178.01,0
170,87,447.88,142.0,1
171,82,238.24,76.04,0
172,75,175.29,90.57,0
173,60,432.9,247.59,1
174,49,158.96,123.88,0
175,28,17.99,252.33,0
176,26,443.39,208.0,1
177,68,446.37,305.59,1
178,92,61.32,375.04,0
179,41,25.83,265.99,0
180,60,308.14,23.21,0
181,28,88.74,195.73,0
182,82,455.53,315.58,1
183,60,291.04,343.54,1
184,52,21.54,78.37,0
185,89,493.95,187.8,1
