Date,Region,Product_Category,Price,Quantity,Customer_Age,Satisfaction_Score,Product_Return,Revenue
2020-01-01,North,Food,403.2,16,30,1,0,6451.2
2020-01-02,North,Food,106.0,17,62,5,0,1802.0
2020-01-02,South,Electronics,106.82,12,49,5,0,1281.84
2020-01-05,North,Electronics,57.21,1,42,3,0,57.21
2020-01-09,North,Food,381.69,18,54,2,0,6870.42
2020-01-10,South,Electronics,435.63,11,42,1,0,4791.93
2020-01-12,East,Electronics,481.59,5,40,5,0,2407.95
2020-01-14,West,Clothing,91.77,18,32,4,0,1651.86
2020-01-15,East,Electronics,487.93,4,64,1,0,1951.72
2020-01-17,East,Electronics,231.8,16,68,5,0,3708.8
2020-01-18,South,Electronics,36.01,9,66,4,0,324.09
2020-01-20,West,Clothing,38.5,14,41,5,0,539.0
2020-01-21,East,Clothing,332.61,11,27,4,0,3658.71
2020-01-22,North,Electronics,68.56,13,38,4,0,891.28
2020-01-23,South,Clothing,344.73,13,57,5,1,4481.49
2020-01-27,North,Food,288.08,8,28,5,0,2304.64
2020-01-29,North,Furniture,180.61,19,52,2,0,3431.59
2020-02-03,South,Clothing,370.25,8,48,3,0,2962.0
2020-02-04,South,Clothing,496.28,15,65,4,0,7444.2
2020-02-04,East,Clothing,60.73,18,43,5,0,1093.1399999999999
2020-02-05,South,Furniture,430.77,3,29,3,0,1292.31
2020-02-06,South,Clothing,388.07,15,54,3,0,5821.05
2020-02-07,South,Food,213.52,17,44,2,0,3629.84
2020-02-08,East,Furniture,365.94,19,40,5,0,6952.86
2020-02-10,East,Furniture,281.07,9,33,2,0,2529.63
2020-02-10,East,Clothing,219.09,17,56,1,0,3724.53
2020-02-16,North,Clothing,24.3,19,65,2,0,461.7
2020-02-16,South,Food,147.13,1,69,1,0,147.13
2020-02-20,North,Clothing,258.69,8,41,1,0,2069.52
2020-02-20,South,Electronics,142.99,6,59,5,0,857.94
2020-02-23,North,Food,438.94,17,56,3,0,7461.98
2020-02-27,South,Electronics,324.68,16,24,3,0,5194.88
2020-03-02,North,Electronics,195.33,3,43,1,0,585.99
2020-03-03,South,Food,258.08,17,39,5,0,4387.36
2020-03-05,North,Electronics,322.28,13,65,5,0,4189.639999999999
2020-03-16,South,Electronics,27.6,7,26,3,0,193.20000000000002
2020-03-20,South,Furniture,304.86,14,33,4,0,4268.04
2020-03-23,East,Clothing,362.74,3,39,1,0,1088.22
2020-03-28,South,Electronics,369.75,14,21,2,1,5176.5
2020-03-30,South,Clothing,52.78,11,23,1,0,580.58
2020-03-30,South,Furniture,223.02,2,53,2,0,446.04
2020-03-31,South,Furniture,65.89,1,22,5,0,65.89
2020-04-01,West,Clothing,177.05,16,34,2,0,2832.8
2020-04-03,North,Clothing,413.86,10,43,2,0,4138.6
2020-04-04,East,Electronics,371.54,1,38,1,1,371.54
2020-04-05,North,Food,288.03,8,49,4,0,2304.24
2020-04-05,East,Clothing,211.0,13,30,4,0,2743.0
2020-04-08,North,Furniture,383.93,8,66,1,0,3071.44
2020-04-08,East,Electronics,33.79,10,61,1,0,337.9
2020-04-08,North,Food,51.03,15,34,4,0,765.45
2020-04-13,West,Food,209.25,3,30,3,0,627.75
2020-04-14,East,Food,383.44,13,68,1,0,4984.72
2020-04-18,North,Furniture,175.89,19,23,3,0,3341.91
2020-04-22,North,Food,194.06,11,42,5,0,2134.66
2020-04-24,West,Electronics,153.46,19,30,3,1,2915.7400000000002
2020-04-26,West,Furniture,328.87,18,64,1,0,5919.66
2020-04-27,North,Electronics,308.73,13,27,2,0,4013.4900000000002
2020-04-29,East,Furniture,429.3,7,38,1,0,3005.1
2020-05-01,West,Furniture,52.29,15,22,1,0,784.35
2020-05-02,East,Electronics,222.51,6,47,1,0,1335.06
2020-05-07,East,Food,21.64,17,43,3,1,367.88
2020-05-10,East,Electronics,322.78,9,27,3,0,2905.0199999999995
2020-05-13,North,Electronics,17.6,1,62,5,1,17.6
2020-05-14,East,Food,255.54,12,66,4,0,3066.48
2020-05-23,North,Electronics,127.11,1,30,5,0,127.11
2020-05-23,South,Clothing,7.73,10,52,3,0,77.30000000000001
2020-05-23,South,Clothing,424.02,8,25,1,0,3392.16
2020-05-25,West,Clothing,432.46,16,36,5,0,6919.36
2020-05-26,East,Clothing,70.21,4,48,4,0,280.84
2020-05-29,East,Furniture,133.02,16,32,1,0,2128.32
2020-05-30,East,Clothing,437.29,13,30,2,0,5684.77
2020-05-31,West,Electronics,156.27,1,47,1,0,156.27
2020-06-01,East,Clothing,296.16,7,57,3,0,2073.1200000000003
2020-06-02,South,Electronics,385.62,12,48,3,0,4627.4400000000005
2020-06-02,North,Electronics,356.57,6,65,5,0,2139.42
2020-06-03,West,Furniture,133.78,6,45,2,0,802.6800000000001
2020-06-06,North,Food,44.9,16,66,2,0,718.4
2020-06-08,West,Electronics,282.42,18,34,4,0,5083.56
2020-06-09,South,Electronics,138.56,9,69,2,0,1247.04
2020-06-10,South,Furniture,48.38,17,54,5,0,822.46
2020-06-15,West,Food,366.67,9,36,1,0,3300.03
2020-06-15,East,Electronics,26.65,10,64,5,0,266.5
2020-06-18,North,Clothing,230.84,17,34,2,0,3924.28
2020-06-21,South,Clothing,207.77,19,59,1,0,3947.63
2020-06-21,West,Furniture,347.78,2,45,1,1,695.56
2020-06-25,South,Furniture,318.88,16,25,1,0,5102.08
2020-06-25,East,Electronics,146.46,18,30,1,0,2636.28
2020-06-29,North,Furniture,39.13,17,45,1,0,665.21
2020-07-05,West,Furniture,232.97,4,52,3,1,931.88
2020-07-06,South,Electronics,45.06,9,63,5,0,405.54
2020-07-08,South,Food,261.93,17,35,1,0,4452.81
2020-07-08,East,Clothing,131.06,19,59,3,0,2490.14
2020-07-08,West,Furniture,302.53,7,69,5,0,2117.71
2020-07-09,West,Food,128.53,15,19,1,0,1927.95
2020-07-10,West,Electronics,301.49,1,41,4,0,301.49
2020-07-16,North,Clothing,324.68,11,39,4,0,3571.48
2020-07-19,East,Furniture,222.56,15,34,3,0,3338.4
2020-07-20,South,Clothing,468.79,5,66,4,0,2343.9500000000003
2020-07-21,West,Clothing,189.22,6,55,4,0,1135.32
2020-07-21,North,Electronics,494.08,2,35,3,0,988.16
2020-07-24,East,Food,463.87,11,50,5,0,5102.57
2020-07-25,North,Furniture,265.89,9,40,1,0,2393.0099999999998
2020-07-26,South,Clothing,187.13,9,19,5,0,1684.17
2020-08-04,North,Furniture,396.07,2,69,2,0,792.14
2020-08-04,South,Food,64.68,11,40,5,0,711.48
2020-08-04,North,Furniture,297.89,7,33,2,0,2085.23
2020-08-05,South,Clothing,327.32,2,48,1,0,654.64
2020-08-07,South,Furniture,309.43,17,30,3,0,5260.31
